epoch,loss,val_loss
0,0.006536619737744331,0.0011800441425293684
1,0.0008196855196729302,0.00045973085798323154
2,0.0005766712129116058,0.0014219299191609025
3,0.0004480921197682619,0.0007979783695191145
4,0.00039092343649826944,0.00017677118012215942
5,0.0003260009689256549,0.0006619549239985645
6,0.00032191642094403505,0.00012438320845831186
7,0.00027917863917537034,0.00038456430775113404
8,0.00030854501528665423,0.0001228857145179063
9,0.0002673793933354318,0.00013335856783669442
