epoch,loss,val_loss
0,0.0075711458921432495,0.0014279691968113184
1,0.00016206475265789777,0.001392999431118369
2,0.0001433182042092085,0.0013425142969936132
3,0.00014217698480933905,0.0013131368905305862
4,0.00013340532314032316,0.0012807842576876283
5,0.00012999265163671225,0.001245957100763917
6,0.00013288159971125424,0.001208878238685429
7,0.00012799999967683107,0.0012325475690886378
8,0.0001334366388618946,0.001122587826102972
9,0.00012153516581747681,0.0010875940788537264
