epoch,loss,val_loss
0,0.005802852567285299,0.005554096773266792
1,0.0002804795221891254,0.004517048597335815
2,0.00025644272682256997,0.0036738149356096983
3,0.00020525492436718196,0.002519934670999646
4,0.00019607346621342003,0.0035612883511930704
5,0.00016841432079672813,0.002320243278518319
6,0.0001425387163180858,0.002410166198387742
7,0.00013480742927640676,0.002368914894759655
8,0.00012780808901879936,0.0020277509465813637
9,0.00011623612226685509,0.001242434955202043
