epoch,loss,val_loss
0,0.009125388227403164,0.0014936350053176284
1,0.00012535307905636728,0.0016718086553737521
2,0.00011547309986781329,0.0013188697630539536
3,0.00011211862874915823,0.001493725343607366
4,0.00010583603580016643,0.0012348346645012498
5,0.00011130359780509025,0.0012928766664117575
6,0.00011488690506666899,0.001238269149325788
7,0.00010744328756118193,0.0009994501015171409
8,0.00010507933620829135,0.0010892574209719896
9,0.00010624772403389215,0.0009236221667379141
