epoch,loss,val_loss
0,0.006006810814142227,0.0003523108607623726
1,0.0006731052417308092,0.00027438096003606915
2,0.000537587096914649,0.0014171450166031718
3,0.0005042794509790838,0.00020193803356960416
4,0.00048074871301651,0.0012339462991803885
5,0.00047038926277309656,0.00015812453057151288
6,0.00045066452003084123,0.0006710139568895102
7,0.0003848350315820426,0.0035757110454142094
8,0.0004460612835828215,0.00019401898316573352
9,0.00034999940544366837,0.0001316658890573308
