epoch,loss,val_loss
0,0.00226167356595397,0.00033431421616114676
1,0.0007716916152276099,0.0004023896181024611
2,0.0005883628618903458,0.0002187034406233579
3,0.0005354447057470679,0.0001783976040314883
4,0.00048597250133752823,0.0006243130192160606
5,0.0004505750839598477,0.00012343574780970812
6,0.0003444561152718961,0.00010895681771216914
7,0.00033165886998176575,0.00014726133667863905
8,0.00030606600921601057,0.00014416714839171618
9,0.00030813703779131174,0.0006831074715591967
